gene,SNPs,hits,Z,top_candidate_p,Z_pVal
15874,58,0,1.2584909282077543,1.0,0.729529846624301
15875,47,1,0.49915578772386665,0.37647460510880015,0.8509347045095419
15876,80,1,2.5306959682937213,0.5524767862361895,0.5102699929015183
15877,118,0,4.4458496590621435,1.0,0.23630109231424778
15878,14,0,1.3602860766331912,1.0,0.29420023937619255
15879,59,0,2.739832828247743,1.0,0.315704198295655
15880,60,0,2.056185574500611,1.0,0.5192595528999807
15881,3,0,-0.13205359620447324,1.0,0.7739567438906046
15882,104,0,2.7154248891527315,1.0,0.5751588073145846
15883,48,0,1.7707614993797862,1.0,0.5162494605581845
15884,79,4,1.3544639594541312,0.008290775034664221,0.7905959427144247
15885,21,0,1.075335864645626,1.0,0.4954854093621912
15886,27,0,1.6861093864495373,1.0,0.33948015467505344
15887,68,0,1.6776320636641182,1.0,0.6732742237916093
15888,40,0,1.7961384640448692,1.0,0.4375680326365914
15889,64,0,2.8073170203937154,1.0,0.3336610692776628
15890,55,0,1.9730978277453117,1.0,0.507984831110443
15891,67,2,4.053292991674135,0.14487238507648623,0.1028341505363668
15892,63,1,5.370149400695761,0.46909445704488684,0.010129704643233595
15893,24,0,1.0980992522429978,1.0,0.5212941183820727
15894,108,1,4.58841631833837,0.662245599101098,0.17901929880089473
15895,22,0,1.1172601932771966,1.0,0.4909488785330045
15896,81,1,1.625179751609297,0.5569520183738275,0.7414522288124294
15897,64,0,-0.3292631557858823,1.0,0.9678244604747666
15898,27,0,1.4002401697879272,1.0,0.4414754604596952
15899,60,0,3.094428057736637,1.0,0.234993729782347
15900,54,0,1.1429722677441814,1.0,0.7385014807056213
15901,80,0,1.4386086206639654,1.0,0.7770923284327644
15902,73,1,0.814017662137196,0.5198585434285787,0.8679341793099349
15903,57,0,2.3743614987249444,1.0,0.4028579848224709
15904,71,0,2.199611687988843,1.0,0.5491013869787102
15905,39,0,-0.08638459910503271,1.0,0.9214257294184626
15906,63,0,1.5066604120240725,1.0,0.6918255833656592
15907,81,0,2.891532780184571,1.0,0.41962555944075275
15908,134,3,2.981798940785474,0.15141180655678724,0.608157980339044
15909,28,0,1.3908478386933631,1.0,0.4560936555623821
15910,37,1,1.1871421315400132,0.31055091413092223,0.6150794660873599
15911,34,0,2.0700146263109085,1.0,0.2905705187868355
15912,1,0,,1.0,
15913,1,0,,1.0,
15914,1,0,-1.0710094649697617,1.0,0.9677238453721277
15915,1,0,-0.6691070838314555,1.0,0.9118828807195899
15916,1,0,,1.0,
15917,7,0,,1.0,
15918,98,1,2.2331039405602464,0.6265357195457308,0.66697608117261
15919,69,1,3.247671575912737,0.500162970100801,0.25784483616945053
15920,2,0,-0.05934519606253266,1.0,0.7365685200896911
15921,1,0,,1.0,
15922,1,0,0.16733009016431444,1.0,0.6256547507076503
15923,5,0,0.511930567632728,1.0,0.5222183315741573
15924,1,0,0.29111897680448573,1.0,0.5665605303728518
15925,1,0,0.7251074178875002,1.0,0.35648454918000616
15926,1,0,0.33792911052645885,1.0,0.5437419616588317
15927,1,0,1.4786637526518256,1.0,0.09719867748697064
15928,1,0,,1.0,
15929,1,0,,1.0,
15930,1,0,0.591865121885877,1.0,0.41938595578874327
15931,1,0,,1.0,
15932,1,0,,1.0,
15933,1,0,0.9762721225486373,1.0,0.2489549630345359
15934,1,0,,1.0,
15935,1,0,,1.0,
15936,1,0,,1.0,
15937,1,0,1.898416653812417,1.0,0.034715080113712604
15938,1,0,0.1986784657755293,1.0,0.6109078394621927
15939,1,0,,1.0,
15940,1,0,0.44324640361538803,1.0,0.49198782612614445
15941,104,0,1.5011467880474687,1.0,0.8268592900662048
15942,83,2,1.1837249375933645,0.2017161467059621,0.8324771741021102
15943,107,0,1.1879870154728842,1.0,0.8763177414098517
15944,106,1,3.2310130724878796,0.6553878166524825,0.4568010809032047
15945,75,1,1.6867185647043332,0.5294133584143501,0.7036925880278553
15946,38,0,1.2988836354829645,1.0,0.5864962953722768
15947,1,0,0.7721250258653988,1.0,0.33509539614489603
15948,5,0,0.7665446274376794,1.0,0.40412886487093547
15949,62,0,2.036405844794217,1.0,0.5387558578736968
15950,35,0,0.6618387103154266,1.0,0.7603343748989614
15951,93,0,2.489568107005558,1.0,0.5853386199528505
15952,64,1,2.114025204398524,0.474403512474438,0.5295091805901753
15953,73,0,1.3426040071739342,1.0,0.773078512322964
15954,78,0,3.201356976636065,1.0,0.32320340921612445
15955,60,1,2.7082615116473767,0.4528433576092388,0.3314879853656477
15956,45,1,3.022575105185299,0.363814513936129,0.14916669261273452
15957,1,0,1.0133452036258541,1.0,0.23467831873631873
15958,1,0,0.39393089513372487,1.0,0.5162584611383716
15959,1,0,,1.0,
15960,1,0,0.4245655976898718,1.0,0.5011829570535709
15961,17,0,1.4907742488508076,1.0,0.2868551436327198
15962,65,2,3.5585984877087613,0.13802176045807785,0.1700405454460605
15963,58,0,4.243444886300921,1.0,0.05162079429087829
15964,15,0,2.4288657547612402,1.0,0.05259082681708782
15965,10,0,1.5990945996150527,1.0,0.166226607547579
15966,9,0,0.7744128319331414,1.0,0.46217811882083715
15967,1,0,,1.0,
15968,30,0,3.196344560682013,1.0,0.04479303141662749
15969,48,0,3.351381261369743,1.0,0.11136283361248134
15970,1,0,,1.0,
15971,36,1,2.667174922108449,0.30358678195042654,0.1556553923544789
15972,16,0,0.49936384539163725,1.0,0.6648207278017867
15973,58,1,2.203716624527802,0.44173386145213633,0.46090053265429143
15974,1,0,0.003881811921699465,1.0,0.6991802689033729
15975,43,0,2.2204599480841076,1.0,0.33108112902790654
15976,165,1,4.3489404819862605,0.8095385402349726,0.37057938143893365
15977,73,0,2.5871982771732767,1.0,0.45356988968813705
15978,15,0,0.14812157679010052,1.0,0.7778234088945649
15979,83,0,2.8159145739092963,1.0,0.450830671843368
15980,114,1,3.838613297513772,0.6820109361808565,0.3462571735151674
15981,47,0,2.7799033486758713,1.0,0.21489524738783627
15982,103,1,5.06256150653119,0.644839185294927,0.10045090057637696
15983,58,1,3.887784863410988,0.44173386145213633,0.08654332382345109
15984,38,0,2.166347162735345,1.0,0.3007061832979877
15985,7,0,-0.3964666538782514,1.0,0.8785981949966115
15986,53,0,1.577555134948026,1.0,0.613085477933293
15987,43,0,3.1436223499808342,1.0,0.11550245472660281
15988,71,0,3.1981844327606987,1.0,0.281749213266571
15989,37,0,1.7023053644944166,1.0,0.4401013261934881
15990,71,0,1.1190517998911422,1.0,0.8111100841930754
15991,49,0,1.8240909698586427,1.0,0.5074598327307651
15992,54,0,0.34221537957678283,1.0,0.8950557812647819
15993,142,1,3.9488970154160166,0.7600075204158656,0.4097483904222905
15994,80,1,3.923487564052177,0.5524767862361895,0.1804221927289571
15995,44,1,2.685742946871695,0.3573883979152818,0.21388618715094054
